timestamp_utc,zone,net_import_mw
2025-11-01 00:00:00+00:00,AT,2203.43645
2025-11-01 01:00:00+00:00,AT,2120.00754
2025-11-01 02:00:00+00:00,AT,2493.63401
2025-11-01 03:00:00+00:00,AT,2365.72875
2025-11-01 04:00:00+00:00,AT,2402.85658
2025-11-01 05:00:00+00:00,AT,2205.78384
2025-11-01 06:00:00+00:00,AT,2372.05913
2025-11-01 07:00:00+00:00,AT,2668.37595
2025-11-01 08:00:00+00:00,AT,2415.56927
2025-11-01 09:00:00+00:00,AT,2098.21019
2025-11-01 10:00:00+00:00,AT,1754.2095
2025-11-01 11:00:00+00:00,AT,1432.21287
2025-11-01 12:00:00+00:00,AT,1141.99858
2025-11-01 13:00:00+00:00,AT,1732.73626
2025-11-01 14:00:00+00:00,AT,1712.72471
2025-11-01 15:00:00+00:00,AT,1400.54756
2025-11-01 16:00:00+00:00,AT,1627.9356
2025-11-01 17:00:00+00:00,AT,1255.05363
2025-11-01 18:00:00+00:00,AT,1599.64216
2025-11-01 19:00:00+00:00,AT,1589.6717
2025-11-01 20:00:00+00:00,AT,1642.61074
2025-11-01 21:00:00+00:00,AT,2088.81459
2025-11-01 22:00:00+00:00,AT,2351.14679
2025-11-01 23:00:00+00:00,AT,2350.29693
2025-11-02 00:00:00+00:00,AT,2344.82754
2025-11-02 01:00:00+00:00,AT,2586.35043
2025-11-02 02:00:00+00:00,AT,2602.62268
2025-11-02 03:00:00+00:00,AT,2695.34636
2025-11-02 04:00:00+00:00,AT,2649.27683
2025-11-02 05:00:00+00:00,AT,2531.75058
2025-11-02 06:00:00+00:00,AT,2222.19644
2025-11-02 07:00:00+00:00,AT,1157.15069
2025-11-02 08:00:00+00:00,AT,742.7075
2025-11-02 09:00:00+00:00,AT,558.90963
2025-11-02 10:00:00+00:00,AT,460.6958
2025-11-02 11:00:00+00:00,AT,537.44757
2025-11-02 12:00:00+00:00,AT,413.54266
2025-11-02 13:00:00+00:00,AT,608.47877
2025-11-02 14:00:00+00:00,AT,846.2092
2025-11-02 15:00:00+00:00,AT,1138.009
2025-11-02 16:00:00+00:00,AT,1010.5699
2025-11-02 17:00:00+00:00,AT,1408.2519
2025-11-02 18:00:00+00:00,AT,1756.4753
2025-11-02 19:00:00+00:00,AT,1831.3646
2025-11-02 20:00:00+00:00,AT,1888.49557
2025-11-02 21:00:00+00:00,AT,1872.56154
2025-11-02 22:00:00+00:00,AT,1679.28136
2025-11-02 23:00:00+00:00,AT,1654.65669
2025-11-03 00:00:00+00:00,AT,1740.75877
2025-11-03 01:00:00+00:00,AT,1567.58822
2025-11-03 02:00:00+00:00,AT,1632.06218
2025-11-03 03:00:00+00:00,AT,1783.65994
2025-11-03 04:00:00+00:00,AT,1753.38069
2025-11-03 05:00:00+00:00,AT,1637.2147
2025-11-03 06:00:00+00:00,AT,1592.7283
